"natural disaster","global warming","climate change","destruction of the environment","green technologies","rest","danger to humanity","political measures against climate change","scientific explanation","environmental friendly behavior","costs","social consequences","environmental pollution","politics","conspirative narration","protection of the environment","rising sea level","environmental consciousness","man made","natural process","activism","industry","environmental damaging behavior","positive consequences","science","economy","healthy environment","scarcity","health and food","negative emotions","political conspiracy","denial","future","global dimension","negative consequences","positive values","impact on agriculture"
0,22,45,11,0,4,8,0,3,0,1,5,2,0,0,0,4,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,2,0,1
22,0,40,7,0,4,7,3,8,0,0,0,5,0,0,2,10,0,1,1,0,0,0,3,0,0,0,2,0,0,0,0,1,0,2,0,2
45,40,0,33,23,24,16,19,16,10,7,12,12,9,6,11,8,12,13,6,9,5,7,4,5,6,5,9,6,3,4,3,3,5,3,2,3
11,7,33,0,1,2,9,0,2,0,0,1,3,0,0,1,4,0,0,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,1,0,1
0,0,23,1,0,9,0,3,2,2,4,0,1,0,0,3,0,3,3,0,0,1,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0
4,4,24,2,9,0,1,3,4,4,2,2,5,2,1,2,1,2,4,2,1,3,6,1,0,3,1,0,2,0,0,0,0,3,2,3,0
8,7,16,9,0,1,0,0,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,4
0,3,19,0,3,3,0,0,1,0,7,0,0,3,2,4,0,0,1,1,0,2,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0
3,8,16,2,2,4,1,1,0,1,2,0,1,1,0,1,1,0,4,3,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0
0,0,10,0,2,4,1,0,1,0,2,0,2,0,0,5,0,1,1,0,0,0,0,3,0,1,3,0,1,0,0,0,0,0,0,1,0
1,0,7,0,4,2,1,7,2,2,0,2,0,1,2,1,0,0,0,0,0,2,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0
5,0,12,1,0,2,5,0,0,0,2,0,0,2,1,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0
2,5,12,3,1,5,1,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0
0,0,9,0,0,2,0,3,1,0,1,2,0,0,2,1,0,0,2,1,0,2,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0
0,0,6,0,0,1,0,2,0,0,2,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0
0,2,11,1,3,2,0,4,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
4,10,8,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
0,0,12,0,3,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
0,1,13,0,3,4,0,1,4,1,0,1,1,2,0,0,0,0,0,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
0,1,6,0,0,2,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,5,0,1,3,0,2,0,0,2,1,0,2,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0
0,0,7,0,1,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1,3,4,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,2,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0
0,0,6,0,1,3,0,2,0,1,2,2,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,5,1,0,1,0,0,1,3,0,0,4,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
1,2,9,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,6,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0,0,1,1,0,3,4,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,3,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,1,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2,3,1,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
